Time(sec),Intensity
228.5,0.4566332219
229,0.4465997771
229.5,0.4365663323
230,0.4265328874
230.5,0.4164994426
231,0.4064659978
231.5,0.396432553
232,0.3863991082
232.5,0.3763656634
233,0.3663322185
233.5,0.3562987737
234,0.3462653289
234.5,0.3362318841
235,0.3261984393
235.5,0.3161649945
236,0.3061315496
236.5,0.2960981048
237,0.28606466
237.5,0.2760312152
238,0.2675744546
238.5,0.2666666667
239,0.2666666667
239.5,0.2666666667
240,0.2666666667
240.5,0.2666666667
241,0.2666666667
241.5,0.298113791
242,0.3878787879
242.5,0.4787878788
243,0.5696969697
243.5,0.6606060606
244,0.7515151515
244.5,0.8401205937
245,0.8666666667
245.5,0.8666666667
246,0.8666666667
246.5,0.8666666667
247,0.8666666667
247.5,0.8666666667
248,0.8666666667
248.5,0.8666666667
249,0.8666666667
249.5,0.8666666667
250,0.8666666667
250.5,0.8666666667
251,0.8666666667
251.5,0.8352195424
252,0.7454545455
252.5,0.6545454546
253,0.5636363637
253.5,0.4727272728
254,0.3818181819
254.5,0.2933643666
255,0.2746987952
255.5,0.286746988
256,0.2987951808
256.5,0.3108433735
257,0.3228915663
257.5,0.3349397591
258,0.3469879518
258.5,0.3590361446
259,0.3710843374
259.5,0.3831325302
260,0.3951807229
260.5,0.4072289157
261,0.4192771085
261.5,0.4313253012
262,0.443373494
